Operator Company	Exchange	Project Ownership	Project Name	Commodities	Resource	Stage	Project Country	Project State Or Province	Longitude	Latitude	Mineral District	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Verified Project Area Ha	Article Link	Contact/CEO	Aggregate Deal Value ($)	Interest Acquired %	Acquisition Details	Option Period (y)	Aggregate deal value ($)	Sum of Cash Payments ($)	Exploration commitments ($)	Cash + Shares ($)	Calculated Cash + Share value column ($)	Share Value ($)	sum of Cash + Calculated Share value ($)	Calculated Share Value ($)	Number of Shares sold	Share Price ($)	NSR %	Article Date
Trigg Minerals Limited	ASX:TMG	Operator: Trigg Minerals Limited  Owner: Trigg Minerals Limited (100%)	Achilles	Sb	610,000 t @ 2.56% Sb containing 15,600 t Sb	Advanced Exploration	Australia	New South Wales	152.7146528	-30.2274792		3541.97	25868357.06	25868357.06			ACQUISITION OF GLOBALLY SIGNIFICANT ANTIMONY PROJECT	Project Acquisition	  4,000 	https://app.mininghub.com/article/73046	Timothy Morrison, Trigg Minerals Executive Chair		100%				-	-		#VALUE!	301500	#VALUE!	#VALUE!	-	0.066	1	29/09/2024 17:27:58
Adelong Gold Limited	ASX:ADG	Operator: Adelong Gold Limited  Owner: Adelong Gold Limited (100%) Optioner: Adelong Gold Limited, Optionee: Great Divide Mining Ltd	Adelong	Au	1,820,000 Tonnes @ 3.21 g/t Au, 188,000 oz Gold	Advanced Exploration	Australia	New South Wales	148.0643333	-35.28433333		7008.94	6987430.99	6987430.99			Agreement Executed with GDM for Adelong Project	Project Acquisition	  7,000 	https://app.mininghub.com/article/90687	Ian Holland, Adelong Gold’s Managing Director		51%	51% (GDM to earn initial 15%, increasing to 51%)			300000	210000		600000	300000	#VALUE!	#VALUE!	-	0.007		11/03/2025 16:43:03
Whitebark Energy Ltd	ASX:WBE	Operator: Whitebark Energy Ltd  Owner: Whitebark Energy Ltd (70%) Owner: Unknown (30%) Optioner: Unknown, Optionee: Whitebark Energy Ltd	Alinya	Hydrogen	4.1 Billion KG	Early Stage	Australia	South Australia	131.1231924	-28.83077606		1943267.45	1541045.82	1541045.82			Strategic Acquisition presentation revised - King Energy	Project Acquisition	  1,946,700 	https://app.mininghub.com/article/82811	Mark Lindh – Chairman		100%	(of King Energy)			-	-		#VALUE!	-	#VALUE!	1200000	100000000	0.012		23/12/2024 00:42:07
NewPeak Metals Limited	ASX:NPM	Operator: NewPeak Metals Limited  Owner: Mineral Road Discovery Inc. (100%) Optioner: AusVan Battery Metals Pty Ltd, Optionee: NewPeak Metals Limited	Allaru	V	710 Mt @ 0.46% V2O5	Early Stage	Australia	Queensland	141.2569959	-19.68232514		150895.53	3864860.772	3864860.772			NewPeak to acquire significant Queensland vanadium project	Project Acquisition	  149,800 	https://app.mininghub.com/article/80967	Mr David Mason, Chief Executive Officer		100%	(of AusVan)			-	-		#VALUE!	3350000	#VALUE!	3350000	303030303	0.011055		04/12/2024 15:12:29
Critical Resources Limited	ASX:CRR	Operator: Critical Resources Limited  Owner: Critical Resources Limited (100%)	Amoco	Sb	7.264 Mt @ 1.3% Sb, containing 93,000 tonnes Stibnite	Early Stage	Australia	New South Wales	152.0344324	-30.75556206		2681.27	9856884.988	9856884.988			Amoco Antimony Gold Project Acquisition & Placement	Financing,Private Placement,Project Acquisition	  170 	https://app.mininghub.com/article/78140	Robert Martin, Chairman		100%	(of Amoco Antimony-Gold Project)			50000	-	350000	350000	300000	161111.111	111111.111	37037037	0.003	2	07/11/2024 16:52:24
Raiden Resources Limited	ASX:RDN	Operator: Raiden Resources Limited  Owner: Raiden Resources Limited (100%)	Andover South	Li		Early Stage	Australia	Western Australia	117.1625841	-20.79689952		4114.12	13803565.768	13803565.768			Key tenement granted on Andover South Project	Project Acquisition	  1,764 	https://app.mininghub.com/article/69925	Mr Dusko Ljubojevic, Managing Director		80%	(of Andover South Project Tenements E47/4061, E47/4062, E47/4063, E47/3849, P47/2028)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.006		01/09/2024 16:42:00
Adelong Gold Limited	ASX:ADG	Operator: Adelong Gold Limited  Owner: Adelong Gold Limited (100%)	Apollo	Au	1,820,000 Tonnes @ 3.21 g/t Au containing 188,000 oz	Early Stage	Australia	Victoria	145.8642762	-36.94503189		9904.43	6987430.99	6987430.99			ADELONG GOLD ACQUIRES ADVANCED, HIGH-GRADE GOLD PROJECT	Project Acquisition	  10,200 	https://app.mininghub.com/article/87655	Ian Holland, Adelong Gold’s Managing Director		100%	(of EL006430 - Apollo Gold Project)			350000	-		700000	350000	#VALUE!	#VALUE!	-	0.007		12/02/2025 16:29:49
Clara Resources Australia Ltd	ASX:C7A	Operator: Clara Resources Australia Ltd  Owner: Clara Resources Australia Ltd (100%)	Ashford	Coal		Advanced Exploration	Australia	New South Wales	151.1223	-29.20006111		1378.07	2046417.108	2046417.108			Option to acquire strategic land for Ashford Project	Project Acquisition	  -   	https://app.mininghub.com/article/70221	Peter Westerhuis, Chief Executive Officer		100%	(Option to purchase land)			1400000	-		1400000		#VALUE!	#VALUE!	-	0.004		03/09/2024 17:14:28
Bubalus Resources Limited	ASX:BUS	Operator: Bubalus Resources Limited  Owner: Providence Gold and Minerals Pty Ltd (100%) Optioner: Providence Gold and Minerals Pty Ltd, Optionee: Bubalus Resources Limited	Avon Plains	Au		Advanced Exploration	Australia	Victoria	142.9313429	-36.59741029		58135.24	6857639.86	6857639.86			Option to Acquire Historical High-Grade Gold Project	Project Acquisition	  106,300 	https://app.mininghub.com/article/92632	Alec Pismiris, Executive Chairman		100%	(Option to acquire EL007115, EL007370, EL007542 - Avon Plains Gold Project)			1225000	240000	1351000	1351000	126000	1351000	126000	700000	0.18		26/03/2025 17:24:01
S2 Resources Ltd	OZ:CA	Operator: S2 Resources Ltd  Owner: Valkea Resources Corp. (100%) Optioner: Valkea Resources Corp., Optionee: S2 Resources Ltd	Ballarat West	Au		Early Stage	Australia	Victoria	143.7352445	-37.47202363		44870.60	9834939	40757219.37	https://www.outbackgoldfields.com		Valkea Completes Option of Legacy Australian Properties to S2 Resources	Options Grant,Project Acquisition	  78,800 	https://app.mininghub.com/article/90009	Mark Bennett, Executive Chairman						938000	840000		938000		#VALUE!	#VALUE!	-		2	04/03/2025 07:30:00
