project_name,url,ticker_exchange,share_price,shares_out
Achilles Project,https://app.mininghub.com/article/73046,ASX:TMG,$0.066,923.87m
Adelong Project,https://app.mininghub.com/article/90687,ASX:ADG,$0.007,880.49m
Alinya Project,https://app.mininghub.com/article/82811,ASX:WBE,$0.006,192.00m
Allaru Project,https://app.mininghub.com/article/80967,ASX:NPM,$0.014,113.62m
Amoco Project,https://app.mininghub.com/article/78140,ASX:CRR,$0.003,1.78b
Andover South Project,https://app.mininghub.com/article/69925,ASX:RDN,$0.006,2.66b
Apollo Project,https://app.mininghub.com/article/87655,ASX:ADG,$0.007,880.49m
Ashford Project,https://app.mininghub.com/article/70221,ASX:C7A,$0.004,189.04m
Avon Plains Project,https://app.mininghub.com/article/92632,ASX:BUS,$0.12,32.17m
Valkea Resources Corp.,https://app.mininghub.com/article/90009,OZ:CA,0.21,32.25m
Novo Resources Corp.,https://app.mininghub.com/article/30145,NVO:CA,0.10,354.63m
Barbwire Terrace Project,https://app.mininghub.com/article/85087,ASX:BRU,$0.036,671.35m
Barlee Project,https://app.mininghub.com/article/92920,ASX:DKM,$0.12,122.41m
Beaconsfield Project,https://app.mininghub.com/article/69140,ASX:FG1,$0.03,164.14m
Beebynganna Hills Project,https://app.mininghub.com/article/82270,ASX:SPR,$2.16,877.58m
Belara Project,https://app.mininghub.com/article/71103,ASX:BRX,$0.105,85.23m
Bencubbin Project,https://app.mininghub.com/article/56668,ASX:CY5,$0.078,291.56m
Q2 Metals Corp.,https://app.mininghub.com/article/31988,QTWO:CA,0.47,147.81m
Bindi Project,https://app.mininghub.com/article/93123,ASX:INF,$0.02,462.59m
Bingara Project,https://app.mininghub.com/article/87544,ASX:CMO,$0.017,126.39m
Blue Bore Project,https://app.mininghub.com/article/81399,ASX:TG1,$0.028,128.13m
Bogong Project,https://app.mininghub.com/article/77716,ASX:IMI,$0.009,118.75m
Bonnie Vale Project,https://app.mininghub.com/article/98360,ASX:FRS,$0.078,161.79m
Briggs Project,https://app.mininghub.com/article/65368,ASX:ALM,$0.004,1.11b
Broken Hill East Project,https://app.mininghub.com/article/90419,ASX:IPT,$0.006,2.86b
Bukkulla Project,https://app.mininghub.com/article/86713,ASX:TMG,$0.066,923.87m
Bullabulling Project,https://app.mininghub.com/article/98825,,,
Bullfinch Project,https://app.mininghub.com/article/73516,ASX:GHM,$0.495,
Butcher's Creek Project,https://app.mininghub.com/article/79533,ASX:WIN,$0.021,297.95m
Bygoo Project,https://app.mininghub.com/article/80826,ASX:CPN,$0.055,94.27m
Bynoe Project,https://app.mininghub.com/article/77981,ASX:CHR,$0.043,77.42m
Byrock Project,https://app.mininghub.com/article/87362,ASX:CUS,$0.02,92.29m
Cane Bore Project,https://app.mininghub.com/article/67482,ASX:M4M,$0.01,3.23b
Canegrass Project,https://app.mininghub.com/article/70338,ASX:VKA,$0.006,1.03b
Cangai Project,https://app.mininghub.com/article/80471,ASX:IMI,$0.009,118.75m
Central Cobar Project,https://app.mininghub.com/article/68624,ASX:HLX,$0.002,2.32b
Central Sandstone Project,https://app.mininghub.com/article/74289,,,
Challenger West Project,https://app.mininghub.com/article/69940,ASX:T88,$0.095,53.77m
Cloncurry Project,https://app.mininghub.com/article/89911,,,
Coonambula Project,https://app.mininghub.com/article/90845,ASX:DTM,$0.004,258.43m
Copperhead Project,https://app.mininghub.com/article/73460,ASX:GHM,$0.495,
Cosmo Newbery Project,https://app.mininghub.com/article/81125,TSXV:SWA,$0.04,361.07m
Coyote Project,https://app.mininghub.com/article/92271,ASX:BC8,$0.82,308.55m
Crosbie Project,https://app.mininghub.com/article/81691,ASX:BUS,$0.12,32.17m
MAC Copper Ltd.,https://app.mininghub.com/article/36727,MTAL:US,12.29,82.46m
Cue Project,https://app.mininghub.com/article/92004,ASX:CYM,$0.022,2.06b
Cummins Project,https://app.mininghub.com/article/84661,,,
Curnamona Project,https://app.mininghub.com/article/64262,ASX:RHI,$3.32,63.90m
Dante Project,https://app.mininghub.com/article/85535,ASX:TM1,$0.027,278.47m
Deadmans Flat Project,https://app.mininghub.com/article/87941,ASX:CMM,$9.38,377.43m
Develin Creek Project,https://app.mininghub.com/article/73059,ASX:QML,$0.033,216.74m
Devils Mountain Project,https://app.mininghub.com/article/73814,ASX:GDM,$0.46,27.25m
Disraeli Project,https://app.mininghub.com/article/74650,ASX:M4M,$0.01,3.23b
DOM's Hill Project,https://app.mininghub.com/article/73868,,,
Eagle Downs Project,https://app.mininghub.com/article/68138,ASX:SMR,$1.935,901.39m
Earaheedy Project,https://app.mininghub.com/article/76172,ASX:LSR,$0.006,2.02b
Eastman Project,https://app.mininghub.com/article/78002,ASX:PKO,$0.003,527.08m
Edjudina Project,https://app.mininghub.com/article/70039,ASX:GIB,$0.035,211.51m
Errabiddy Project,https://app.mininghub.com/article/80113,ASX:FAL,$0.12,177.00m
Eureka Project,https://app.mininghub.com/article/81865,ASX:JAV,$0.002,2.18b
Evanston Project,https://app.mininghub.com/article/81547,ASX:CTN,$0.002,1.24b
Everton Project,https://app.mininghub.com/article/90975,,,
Eyre Project,https://app.mininghub.com/article/81958,ASX:LML,$0.005,1.70b
Fiery Creek Project,https://app.mininghub.com/article/67691,ASX:AAJ,$0.01,196.89m
Forrestania Project,https://app.mininghub.com/article/85424,,,
Fraser Range Project,https://app.mininghub.com/article/92447,ASX:MRR,$0.011,1.08b
Geolsec Project,https://app.mininghub.com/article/82601,,,
Benz Mining Corp.,https://app.mininghub.com/article/87841,BZ:CA,0.375,221.82m
Glenfine Project,https://app.mininghub.com/article/88831,TSXV:OZ,$0.21,32.25m
Great Pacific Gold Corp.,https://app.mininghub.com/article/87628,GPAC:CA,0.44,112.47m
Golden Range Project,https://app.mininghub.com/article/65770,ASX:WA8,$0.115,652.02m
Goldsworthy East Project,https://app.mininghub.com/article/70617,ASX:M4M,$0.01,3.23b
Gonneville Project,https://app.mininghub.com/article/56120,ASX:CHN,$1.22,386.05m
Goodia Project,https://app.mininghub.com/article/87350,ASX:ORD,$0.445,
Goongarrie Project,https://app.mininghub.com/article/92292,ASX:BTR,$0.625,2.91b
Governor Broome Project,https://app.mininghub.com/article/61626,ASX:ASE,$0.024,410.52m
Greater Duchess Project,https://app.mininghub.com/article/80243,,,
Gulf Creek Project,https://app.mininghub.com/article/84054,ASX:OD6,$0.034,80.25m
Guyer Project,https://app.mininghub.com/article/82295,ASX:ICL,$0.063,246.56m
Hakes Find Project,https://app.mininghub.com/article/74502,ASX:GHM,$0.495,
Halls Creek Project,https://app.mininghub.com/article/88031,ASX:COB,$0.055,421.74m
Harden Project,https://app.mininghub.com/article/78235,ASX:IMI,$0.009,118.75m
Harris Lake Project,https://app.mininghub.com/article/79170,ASX:1AE,$0.07,159.21m
Harts Range Project,https://app.mininghub.com/article/75280,ASX:NFM,$0.013,1.30b
Hatches Creek Project,https://app.mininghub.com/article/82023,ASX:TGN,$0.074,786.41m
Havilah Project,https://app.mininghub.com/article/64859,ASX:GED,$0.018,115.52m
Heemskirk Project,https://app.mininghub.com/article/80658,ASX:SRZ,$0.016,1.55b
Hendeka Project,https://app.mininghub.com/article/86698,TSX:EFR,$7.49,198.67m
Henty Project,https://app.mininghub.com/article/92180,ASX:KAU,$0.185,171.04m
Higginsville Project,https://app.mininghub.com/article/82897,,,
Horseshoe Lights Project,https://app.mininghub.com/article/84516,ASX:HOR,$0.02,647.78m
Hurricane Project,https://app.mininghub.com/article/86973,ASX:ICG,$0.005,804.74m
Ida Holmes Junction Project,https://app.mininghub.com/article/67549,ASX:WYX,$0.027,62.19m
Ilgarari Project,https://app.mininghub.com/article/77864,ASX:LRD,$0.022,53.85m
Stawell Corridor Project,https://app.mininghub.com/article/92179,ASX:AKA,$0.13,1.50b
Jaurdi Project,https://app.mininghub.com/article/62273,ASX:BCN,$0.028,3.76b
John Bull Project,https://app.mininghub.com/article/81975,TSX:NVO,$0.10,354.63m
Jungar Flats Project,https://app.mininghub.com/article/87836,ASX:E79,$0.017,81.33m
JWD Project,https://app.mininghub.com/article/77553,,,
Kangaroo Hills Project,https://app.mininghub.com/article/84829,ASX:FBM,$0.017,638.65m
Kanowna Project,https://app.mininghub.com/article/68616,ASX:CMO,$0.017,126.39m
Kanowna East Project,https://app.mininghub.com/article/85191,ASX:MHK,$0.465,100.67m
Karonie Project,https://app.mininghub.com/article/73021,ASX:ALY,$0.006,1.18b
Kat Gap Project,https://app.mininghub.com/article/92191,,,
Katanning Project,https://app.mininghub.com/article/74520,ASX:AUC,$0.62,2.30b
Kings Find Project,https://app.mininghub.com/article/90921,ASX:CMM,$9.38,377.43m
Kingsgate Project,https://app.mininghub.com/article/77998,ASX:T88,$0.095,53.77m
Kookabookra Project,https://app.mininghub.com/article/91725,ASX:THB,$0.015,
Kookynie Project,https://app.mininghub.com/article/77938,ASX:CAV,$0.004,3.42b
Kookynie West Project,https://app.mininghub.com/article/77508,,,
Lady Grey Project,https://app.mininghub.com/article/81367,,,
Lady Ida Project,https://app.mininghub.com/article/70207,ASX:BCN,$0.028,3.76b
Lady Jenny Project,https://app.mininghub.com/article/73488,ASX:HMX,$0.035,886.41m
Lake Carey Project,https://app.mininghub.com/article/89357,ASX:MAT,$0.067,478.82m
Lake Rebecca Project,https://app.mininghub.com/article/90162,ASX:BNR,$0.062,293.61m
Lakewood Mill Project,https://app.mininghub.com/article/89059,ASX:BC8,$0.82,308.55m
Laverton Project,https://app.mininghub.com/article/82102,ASX:CTN,$0.002,1.24b
Leake Project,https://app.mininghub.com/article/70618,ASX:MGA,$0.081,37.20m
Lindsay's Project,https://app.mininghub.com/article/89340,,,
Liverpool Project,https://app.mininghub.com/article/90392,ASX:EPM,$0.006,2.23b
Loded Dog Project,https://app.mininghub.com/article/89024,ASX:AWJ,$0.20,148.55m
MacDonnell Ranges Project,https://app.mininghub.com/article/68257,ASX:LPM,$0.068,132.34m
Mangaroon Project,https://app.mininghub.com/article/92262,ASX:DRE,$0.012,3.51b
Marble Bar Project,https://app.mininghub.com/article/91627,ASX:KM1,$0.09,
Marda Project,https://app.mininghub.com/article/82563,ASX:LM1,$0.125,46.85m
Mersey Project,https://app.mininghub.com/article/89072,ASX:AUH,$0.001,2.10b
Montague East Project,https://app.mininghub.com/article/67250,ASX:BTR,$0.625,2.91b
Montezuma Project,https://app.mininghub.com/article/75779,ASX:LDR,$0.18,106.78m
Mount Lindsay Project,https://app.mininghub.com/article/57956,ASX:CRI,,
TinOne Resources Inc.,https://app.mininghub.com/article/37800,TORC:CA,0.075,9.99m
Mt Cannindah Project,https://app.mininghub.com/article/74016,ASX:CAE,$0.033,578.08m
Mt Chalmers Project,https://app.mininghub.com/article/71424,ASX:QML,$0.033,216.74m
Mt Clere Project,https://app.mininghub.com/article/88297,ASX:ZMI,$0.013,213.14m
Mt Edwards Project,https://app.mininghub.com/article/69359,ASX:AAR,$0.175,933.10m
Mt Egerton Project,https://app.mininghub.com/article/77583,TSXV:BZ,$0.375,221.82m
Mt Fisher Project,https://app.mininghub.com/article/88884,ASX:HTM,$0.165,24.75m
Mt Gibson Project,https://app.mininghub.com/article/86083,ASX:CMM,$9.38,377.43m
Mt Isa North Project,https://app.mininghub.com/article/69633,ASX:AM5,$0.007,213.54m
Mt Lyell Project,https://app.mininghub.com/article/71284,ASX:ILT,$0.225,
Mt Mansbridge Project,https://app.mininghub.com/article/90741,ASX:REE,$0.017,683.39m
Mt Morgan (Capricorn) Project,https://app.mininghub.com/article/90938,ASX:GBZ,$0.008,1.16b
Mt Mulgine Project,https://app.mininghub.com/article/82141,ASX:TGN,$0.074,786.41m
Mt Stirling Project,https://app.mininghub.com/article/84220,ASX:ASR,$0.002,1.66b
Sarama Resources Ltd.,https://app.mininghub.com/article/89470,SWA:CA,0.04,361.07m
Mt York Project,https://app.mininghub.com/article/70353,ASX:KAI,$0.028,2.62b
Mulga Rock Project,https://app.mininghub.com/article/82394,ASX:OMX,$0.057,85.75m
Mulline Project,https://app.mininghub.com/article/77511,ASX:LRL,,
Mulwarrie Project,https://app.mininghub.com/article/80799,ASX:LRL,,
Music Well Project,https://app.mininghub.com/article/77705,ASX:AUG,$0.029,85.37m
Mutooroo Project,https://app.mininghub.com/article/68609,ASX:HAV,$0.165,316.64m
Myrtleford Project,https://app.mininghub.com/article/83255,CSE:SEEM,$0.155,6.51m
Mystique Project,https://app.mininghub.com/article/90071,ASX:WC1,$0.015,122.30m
Nabarlek Project,https://app.mininghub.com/article/87478,ASX:DEV,$0.099,441.19m
Nanadie Well Project,https://app.mininghub.com/article/86843,ASX:SLS,$0.19,100.34m
Nevertire South Project,https://app.mininghub.com/article/70633,TSXV:KCC,$0.035,291.72m
New England Project,https://app.mininghub.com/article/69225,ASX:LDR,$0.18,106.78m
Newman Project,https://app.mininghub.com/article/92572,ASX:PGD,$0.135,67.88m
Norcia Project,https://app.mininghub.com/article/92417,ASX:WYX,$0.027,62.19m
Nullagine Project,https://app.mininghub.com/article/87347,ASX:GR8,$0.115,28.14m
Nundle Project,https://app.mininghub.com/article/91764,ASX:TMG,$0.066,923.87m
Parker Dome Project,https://app.mininghub.com/article/82396,ASX:MM8,$0.265,307.65m
Pilbara Project,https://app.mininghub.com/article/64862,,,
Polelle Project,https://app.mininghub.com/article/84496,ASX:CDT,$0.094,1.22b
Port Hedland Logistics Hub Project,https://app.mininghub.com/article/79739,ASX:M4M,$0.01,3.23b
Prospect Hill Project,https://app.mininghub.com/article/83188,ASX:HRE,$0.035,60.49m
Leviathan Gold Ltd.,https://app.mininghub.com/article/40175,LVX:CA,0.26,61.44m
Rabbit Trap Project,https://app.mininghub.com/article/77378,ASX:RIM,$0.018,2.25b
Raglan Project,https://app.mininghub.com/article/86711,ASX:DTM,$0.004,258.43m
Randalls Project,https://app.mininghub.com/article/90026,ASX:M2R,$0.003,186.09m
Ravensthorpe Project,https://app.mininghub.com/article/60876,ASX:BNR,$0.062,293.61m
CopperCorp Resources Inc.,https://app.mininghub.com/article/70097,CPER:CA,0.075,88.32m
Redcastle Project,https://app.mininghub.com/article/75947,TSXV:SXGC,$5.15,255.18m
Great Pacific Gold Corp.,https://app.mininghub.com/article/80805,GPAC:CA,0.44,112.47m
Reynolds Range Project,https://app.mininghub.com/article/67705,ASX:ITM,$0.034,122.28m
Robe Mesa Project,https://app.mininghub.com/article/92025,ASX:CZR,$0.245,235.73m
Rockvale Project,https://app.mininghub.com/article/78576,ASX:THB,$0.015,
Samphire Project,https://app.mininghub.com/article/56510,ASX:AGE,$0.032,3.86b
Sandover Additional Claims Project,https://app.mininghub.com/article/79494,ASX:TVN,$0.11,1.64b
Side Well Project,https://app.mininghub.com/article/72244,ASX:GBR,$0.07,600.54m
Valkea Resources Corp.,https://app.mininghub.com/article/35865,OZ:CA,0.21,32.25m
CopperCorp Resources Inc.,https://app.mininghub.com/article/82043,CPER:CA,0.075,88.32m
Sorby Hills Project,https://app.mininghub.com/article/72123,ASX:BML,$0.16,183.46m
Southern Cross Project,https://app.mininghub.com/article/88292,ASX:CC9,$0.071,81.79m
Spartan Project,https://app.mininghub.com/article/75676,ASX:TMG,$0.066,923.87m
Speewah Project,https://app.mininghub.com/article/64355,ASX:TVN,$0.11,1.64b
Springdale Project,https://app.mininghub.com/article/77987,ASX:IG6,$0.048,166.16m
Stavely Project,https://app.mininghub.com/article/56121,ASX:SVY,$0.012,381.94m
Stuart Shelf Project,https://app.mininghub.com/article/71398,,,
Southern Cross Gold Consolidated Ltd.,https://app.mininghub.com/article/73795,SXGC:CA,5.15,255.18m
Sunday Iron Project,https://app.mininghub.com/article/98247,ASX:IVR,$0.022,1.58b
Sylvania Project,https://app.mininghub.com/article/81254,ASX:CMM,$9.38,377.43m
Talga Project,https://app.mininghub.com/article/80842,ASX:GL1,$0.16,260.27m
Tambina Project,https://app.mininghub.com/article/81379,ASX:TMB,$0.023,82.94m
Tangadee Project,https://app.mininghub.com/article/92774,ASX:AVW,$0.007,2.13b
Meryllion Resources Corp,https://app.mininghub.com/article/41826,MYR:CNX,0.03,42.29m
Taylors Arm Project,https://app.mininghub.com/article/71983,ASX:TMG,$0.066,923.87m
Newmont Corporation Shares of Common Stock,https://app.mininghub.com/article/70938,NGT:CA,72.86,1.11b
Thowagee Project,https://app.mininghub.com/article/79329,ASX:TAR,$0.008,706.03m
Thunderstorm Project,https://app.mininghub.com/article/98798,ASX:RTR,$0.025,702.89m
Tibooburra Project,https://app.mininghub.com/article/81915,TSX:NVO,$0.10,354.63m
Tobermorey Project,https://app.mininghub.com/article/74818,ASX:GRV,$0.041,440.21m
Novo Resources Corp.,https://app.mininghub.com/article/81510,NVO:CA,0.10,354.63m
Treuer Range Project,https://app.mininghub.com/article/65530,ASX:NPM,$0.014,113.62m
Trident Project,https://app.mininghub.com/article/62609,ASX:SLB,$0.054,63.56m
Triumph Project,https://app.mininghub.com/article/72431,ASX:DTM,$0.004,258.43m
Tunkillia North Project,https://app.mininghub.com/article/82527,ASX:SRI,$0.013,228.16m
Twin Hills Project,https://app.mininghub.com/article/75288,ASX:GBZ,$0.008,1.16b
Ularring Project,https://app.mininghub.com/article/71131,ASX:CR1,$0.13,59.28m
Van Uden Project,https://app.mininghub.com/article/90173,ASX:TG6,$0.115,54.09m
Wandanya Project,https://app.mininghub.com/article/74646,ASX:M4M,$0.01,3.23b
Weld Range North Project,https://app.mininghub.com/article/77545,ASX:MOH,$0.004,539.18m
West Arunta Project,https://app.mininghub.com/article/65585,ASX:CUF,$0.007,1.15b
Whim Creek Project,https://app.mininghub.com/article/84801,ASX:ANX,$0.008,591.32m
Whiteheads Project,https://app.mininghub.com/article/79472,,,
Windanya Project,https://app.mininghub.com/article/73973,ASX:DUN,$0.019,79.08m
Wudinna Project,https://app.mininghub.com/article/88858,LON:COBR,£1.425,726.37m
Yalgoo Project,https://app.mininghub.com/article/84946,ASX:SPR,$2.16,877.58m
Yandal West Project,https://app.mininghub.com/article/80252,ASX:ALB,$0.05,65.27m
Yardilla Project,https://app.mininghub.com/article/80231,ASX:CUL,$0.004,570.17m
Yarri (Bunjarra) Project,https://app.mininghub.com/article/81135,ASX:SLS,$0.19,100.34m
EMX Royalty Corp,https://app.mininghub.com/article/77463,EMX:US,2.37,108.80m
Yerilgee Project,https://app.mininghub.com/article/81534,ASX:CTN,$0.002,1.24b
Yeungroon Project,https://app.mininghub.com/article/80817,TSXV:OZ,$0.21,32.25m
