project_name,url,ticker_exchange,share_price,shares_out,cash_payments
Achilles Project,https://app.mininghub.com/article/73046,ASX:TMG,$0.066,923.87m,
Adelong Project,https://app.mininghub.com/article/90687,ASX:ADG,$0.007,880.49m,"{'cash_payment': '$300,000', 'keyword_locations': '- Found \'cash\' on page 3, bottom: ""Once First Gold is poured from the Adelong Venture, cash calls will be funded by the Adelong Venture participants according to their respective holdings.""\n  - Context: ""ADG Free Carry: Until First Gold, ADG will not be required to participate in the funding of any initial works, GDM will however provide the necessary funding. Subsequent funding: Once First Gold is poured from the Adelong Venture, cash calls will be funded by the Adelong Venture participants according to their respective holdings. i.e. contributions post First Gold will be made in accordance with the percentage holding of each party in CMPL, i.e. 51% GDM and 49% ADG. A Dilution Formula will adjust holdings in the event that a Shareholder does not contribute. Manager: GDM as Manager, will advance the restart of the Adelong Process Plant and produce gold on behalf of the Adelong Venture.""\n- Found \'cash\' on page 4, top: ""If GDM fails to satisfy the First Gold requirement within 12 months following completion of its due diligence, ADG is required to purchase and GDM is required to sell its 15% interest in CMPL to ADG for $300,000 (Buy-Out Amount), payable in cash and/or fully paid ordinary shares in the capital of ADG at the election of ADG.""\n  - Context: ""First Gold: GDM is to produce First Gold within 12 months following completion of its due diligence, failing which ADG may elect in writing to be appointed as Operator of the Adelong Venture. If GDM fails to satisfy the First Gold requirement within 12 months following completion of its due diligence, ADG is required to purchase and GDM is required to sell its 15% interest in CMPL to ADG for $300,000 (Buy-Out Amount), payable in cash and/or fully paid ordinary shares in the capital of ADG at the election of ADG. Further Equity in CMPL: In consideration of producing First Gold and for providing the necessary cash contributions to produce First Gold, GDM will receive an additional 36% of the issued capital of CMPL, issued in CMPL on achieving First Gold.""\n- Found \'cash\' on page 4, top: ""In consideration of producing First Gold and for providing the necessary cash contributions to produce First Gold, GDM will receive an additional 36% of the issued capital of CMPL, issued in CMPL on achieving First Gold.""\n  - Context: ""If GDM fails to satisfy the First Gold requirement within 12 months following completion of its due diligence, ADG is required to purchase and GDM is required to sell its 15% interest in CMPL to ADG for $300,000 (Buy-Out Amount), payable in cash and/or fully paid ordinary shares in the capital of ADG at the election of ADG. Further Equity in CMPL: In consideration of producing First Gold and for providing the necessary cash contributions to produce First Gold, GDM will receive an additional 36% of the issued capital of CMPL, issued in CMPL on achieving First Gold. The issuing of this further equity will take GDM\'s equity interest in CMPL to a total of 51%. Cost for First Gold: Any additional costs will be paid by GDM to achieve First Gold.""\n- Found \'payment\' on page 4, bottom: ""GDM payment of $300,000 and Issue of shares representing 15% equity in CMPL""\n  - Context: ""The timetable for the Adelong Venture is as follows: Execution of Definitive Agreement/s 3 March 2025 GDM payment of $300,000 and Issue of shares representing 15% equity in CMPL 10 March 2025 Achieve First Gold before 3 March 2026 ASX release authorised by the Board of Great Divide Mining Ltd.""'}"
Alinya Project,https://app.mininghub.com/article/82811,ASX:WBE,$0.006,192.00m,
Allaru Project,https://app.mininghub.com/article/80967,ASX:NPM,$0.014,113.62m,
Amoco Project,https://app.mininghub.com/article/78140,ASX:CRR,$0.003,1.78b,"{'cash_payment': '$50,000', 'keyword_locations': '- Found \'cash\' on page 11, top of page: ""Terms of the Acquisition include the following consideration payable to the Seller (i) $50,000 cash payment payable after completion, (ii) $250,000 in CRR shares based on today\'s 20 day volume weighted share price (“20D VWAP”) ($0.0081) payable after completion, (iii) $25,000 in CRR shares based on 20D VWAP upon CRR announcing to the ASX, the completion of first round field sampling in EL9293 and delivery of samples to analytical laboratory for assay of multielement including antimony, gold and silver (“Milestone 1”), (iv) $25,000 in CRR shares based on 20D VWAP upon CRR announcing to the ASX, the analytical laboratory assay results, including antimony (>1% Sb) and gold (>10 g/t), from samples collected in EL9293 from first round of field sampling (ie milestone 1) with a grade of no less than any of the following: (a) in the case of antimony, greater than 1%; (b) in the case of gold, greater than 10 g/t, (“Milestone 2""), and (v) 2% net smelter royalty (‘“NSR”).""\n- Found \'payment\' on page 11, top of page: ""Terms of the Acquisition include the following consideration payable to the Seller (i) $50,000 cash payment payable after completion, (ii) $250,000 in CRR shares based on today\'s 20 day volume weighted share price (“20D VWAP”) ($0.0081) payable after completion, (iii) $25,000 in CRR shares based on 20D VWAP upon CRR announcing to the ASX, the completion of first round field sampling in EL9293 and delivery of samples to analytical laboratory for assay of multielement including antimony, gold and silver (“Milestone 1”), (iv) $25000 in CRR shares based on 20D VWAP upon CRR announcing to the ASX, the analytical laboratory assay results, including antimony (>1% Sb) and gold (>10 g/t), from samples collected in EL9293 from first round of field sampling (ie milestone 1) with a grade of no less than any of the following: (a) in the case of antimony, greater than 1%; (b) in the case of gold, greater than 10 g/t, (“Milestone 2""), and (v) 2% net smelter royalty (‘“NSR”).""\n- Found \'payment\' on page 11, middle of page: ""All Milestone VWAP calculations will be based on a minimum price of $0.008 and will be issued utilising the Company\'s available placement capacity under Listing Rule 7.1.""'}"
Andover South Project,https://app.mininghub.com/article/69925,ASX:RDN,$0.006,2.66b,
Apollo Project,https://app.mininghub.com/article/87655,ASX:ADG,$0.007,880.49m,"{'cash_payment': '$350,000', 'keyword_locations': '- Found \'cash\' on page 4, middle: ""Cash Payment: $350,000 payable within five (5) business days following satisfaction of all conditions precedent.""\n- Found \'payment\' on page 4, middle: ""Cash Payment: $350,000 payable within five (5) business days following satisfaction of all conditions precedent.""\n- Found \'cash\' on page 5, middle: ""GDM will increase its stake to 51% upon achieving first gold production within 12 months, while Adelong will retain a 49% interest with no cash contributions required until production commences.""'}"
Ashford Project,https://app.mininghub.com/article/70221,ASX:C7A,$0.004,189.04m,"{'cash_payment': '$1,700,000\n\n**Explanation of Cash Payment Calculation:**\nThe document details two types of payments related to the option to purchase the Strathnairn property:\n1.  **Annual Option Fee:** ""$60,000, to be paid in quarterly installments of $15,000."" This is a definite cash payment. The document mentions a ""5-year option period"" in the subsequent point regarding the purchase price. Assuming the option is maintained for the full 5 years, the total option fees would be $60,000/year * 5 years = $300,000.\n2.  **Purchase Price:** ""should the option be exercised, is $1.4m escalating at 3.5% per annum over the 5-year option period."" This is the cash payment required to acquire the land if the option is exercised. Taking the initial stated amount, the base purchase price is $1.4 million.\n\nSumming these potential cash payments for the project:\nTotal Cash Payments = Total Option Fees + Purchase Price\nTotal Cash Payments = $300,000 + $1,400,000 = $1,700,000.', 'keyword_locations': '- Found \'payment\' (implied by \'paid\') on page 1, middle: ""The annual option fee is $60,000, to be paid in quarterly installments of $15,000.""\n  - Context:\n    - Before: ""Regarding the announcement earlier today advising the Option Agreement made with the Landholder to purchase the property Strathnairn, Clara Resources Australia Ltd further advises:""\n    - After: ""2. The purchase price, should the option be exercised, is $1.4m escalating at 3.5% per annum over the 5-year option period.""\n- Found \'payment\' (implied by \'purchase price\' as a deal term) on page 1, middle: ""The purchase price, should the option be exercised, is $1.4m escalating at 3.5% per annum over the 5-year option period.""\n  - Context:\n    - Before: ""1. The annual option fee is $60,000, to be paid in quarterly installments of $15,000.""\n    - After: ""This ASX release was authorized by the Board of Clara Resources Australia Ltd.""'}"
Avon Plains Project,https://app.mininghub.com/article/92632,ASX:BUS,$0.12,32.17m,"{'cash_payment': '$1,225,000', 'keyword_locations': '- Found \'cash\' on page 10, middle of page: ""$50,000 to be paid in cash to the Vendor (or its nominees) upon execution of the Agreement;""\n- Found \'payment\' on page 10, middle of page: ""Subject to satisfaction (or waiver) of the Conditions (defined below), Bubalus may exercise the Option during the period of 48 months after the execution date (or such other date as agreed in writing between the parties) (Option Period) by completing the following payments to the Vendor by the specified due dates (each, an Option Payment):""\n- Found \'payment\' on page 10, bottom of page: ""Bubalus may, at any time, accelerate payment of the Option Payments with a view to exercising the Option before that date which is 48 months from the execution date.""\n- Found \'paying\' on page 11, middle of page: ""Subject to Bubalus paying all the Option Payments to Providence and Bubalus electing to exercise the Option settlement of the Acquisition is to occur on the date which is 5 business days after Bubalus exercises the Option.""\n- Found \'cash\' on page 11, middle of page: ""Bubalus will have the right to buy-back one half of the Royalty (being 0.5% of the total 1.0% Royalty) for $1,000,000 (to be adjusted for CPI) in cash.""'}"
Valkea Resources Corp.,https://app.mininghub.com/article/90009,OZ:CA,0.21,32.25m,
